client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
1,,,0,0,0,2022-05-13
2,,,0,0,0,2022-05-19
3,,,0,0,0,2022-05-23
4,,,0,0,0,2022-05-27
5,,,0,0,0,2022-05-03
6,,,0,0,0,2022-05-05
7,,,0,0,0,2022-05-03
8,,,0,0,0,2022-05-12
9,,,0,0,0,2022-05-21
10,,,0,0,0,2022-05-05
11,,,0,0,0,2022-05-08
12,,,0,0,0,2022-05-09
13,,,0,0,0,2022-05-29
14,,,0,0,0,2022-05-14
15,,,0,0,0,2022-05-29
16,,,0,0,0,2022-05-29
17,,,0,0,0,2022-05-01
18,,,0,0,0,2022-05-09
19,,,0,0,0,2022-05-06
20,,,0,0,0,2022-05-02
21,,,0,0,0,2022-05-02
22,,,0,0,0,2022-05-16
23,,,0,0,0,2022-05-20
24,,,0,0,0,2022-05-10
25,,,0,0,0,2022-05-02
26,,,0,0,0,2022-05-28
27,,,0,0,0,2022-05-30
28,,,0,0,0,2022-05-16
29,,,0,0,0,2022-05-01
30,,,0,0,0,2022-05-22
31,,,0,0,0,2022-05-22
32,,,0,0,0,2022-05-27
33,,,0,0,0,2022-05-25
34,,,0,0,0,2022-05-14
35,,,0,0,0,2022-05-25
36,,,0,0,0,2022-05-22
37,,,0,0,0,2022-05-11
38,,,0,0,0,2022-05-03
39,,,0,0,0,2022-05-02
40,,,0,0,0,2022-05-20
41,,,0,0,0,2022-05-05
42,,,0,0,0,2022-05-25
43,,,0,0,0,2022-05-22
44,,,0,0,0,2022-05-01
45,,,0,0,0,2022-05-17
46,,,0,0,0,2022-05-28
47,,,0,0,0,2022-05-15
48,,,0,0,0,2022-05-03
49,,,0,0,0,2022-05-26
50,,,0,0,0,2022-05-26
51,,,0,0,0,2022-05-03
52,,,0,0,0,2022-05-09
53,,,0,0,0,2022-05-11
54,,,0,0,0,2022-05-13
55,,,0,0,0,2022-05-12
56,,,0,0,0,2022-05-08
57,,,0,0,0,2022-05-17
58,,,0,0,0,2022-05-08
59,,,0,0,0,2022-05-08
60,,,0,0,0,2022-05-18
61,,,0,0,0,2022-05-03
62,,,0,0,0,2022-05-23
63,,,0,0,0,2022-05-27
64,,,0,0,0,2022-05-29
65,,,0,0,0,2022-05-19
66,,,0,0,0,2022-05-15
67,,,0,0,0,2022-05-16
68,,,0,0,0,2022-05-21
69,,,0,0,0,2022-05-29
70,,,0,0,0,2022-05-04
71,,,0,0,0,2022-05-28
72,,,0,0,0,2022-05-26
73,,,0,0,0,2022-05-18
74,,,0,0,0,2022-05-14
75,,,0,0,0,2022-05-26
76,,,0,0,1,2022-05-20
77,,,0,0,0,2022-05-16
78,,,0,0,0,2022-05-28
79,,,0,0,0,2022-05-30
80,,,0,0,0,2022-05-21
81,,,0,0,0,2022-05-29
82,,,0,0,0,2022-05-29
83,,,0,0,0,2022-05-27
84,,,0,0,1,2022-05-06
85,,,0,0,0,2022-05-23
86,,,0,0,0,2022-05-12
87,,,0,0,0,2022-05-23
88,,,0,0,0,2022-05-21
89,,,0,0,1,2022-05-19
90,,,0,0,0,2022-05-17
91,,,0,0,0,2022-05-29
92,,,0,0,0,2022-05-05
93,,,0,0,0,2022-05-02
94,,,0,0,0,2022-05-27
95,,,0,0,0,2022-05-28
96,,,0,0,0,2022-05-25
97,,,0,0,0,2022-05-17
98,,,0,0,0,2022-05-27
99,,,0,0,0,2022-05-30
100,,,0,0,0,2022-05-03
101,,,0,0,0,2022-05-25
102,,,0,0,0,2022-05-30
103,,,0,0,0,2022-05-27
104,,,0,0,0,2022-05-19
105,,,0,0,0,2022-05-24
106,,,0,0,0,2022-05-08
107,,,0,0,0,2022-05-22
108,,,0,0,0,2022-05-09
109,,,0,0,0,2022-05-15
110,,,0,0,0,2022-05-09
111,,,0,0,0,2022-05-04
112,,,0,0,0,2022-05-01
113,,,0,0,0,2022-05-25
114,,,0,0,0,2022-05-04
115,,,0,0,0,2022-05-06
116,,,0,0,0,2022-05-20
117,,,0,0,0,2022-05-31
118,,,0,0,0,2022-05-24
119,,,0,0,0,2022-05-06
120,,,0,0,0,2022-05-26
121,,,0,0,0,2022-05-21
122,,,0,0,0,2022-05-01
123,,,0,0,0,2022-05-18
124,,,0,0,0,2022-05-09
125,,,0,0,0,2022-05-26
126,,,0,0,0,2022-05-21
127,,,0,0,0,2022-05-31
128,,,0,0,0,2022-05-24
129,,,0,0,0,2022-05-23
130,,,0,0,1,2022-05-12
131,,,0,0,0,2022-05-29
132,,,0,0,0,2022-05-20
133,,,0,0,0,2022-05-22
134,,,0,0,0,2022-05-12
135,,,0,0,0,2022-05-19
136,,,0,0,0,2022-05-05
137,,,0,0,0,2022-05-26
138,,,0,0,0,2022-05-19
139,,,0,0,0,2022-05-28
140,,,0,0,1,2022-05-27
141,,,0,0,0,2022-05-16
142,,,0,0,0,2022-05-22
143,,,0,0,0,2022-05-24
144,,,0,0,0,2022-05-17
145,,,0,0,0,2022-05-24
146,,,0,0,0,2022-05-06
147,,,0,0,0,2022-05-11
148,,,0,0,0,2022-05-16
149,,,0,0,0,2022-05-28
150,,,0,0,0,2022-05-25
151,,,0,0,0,2022-05-03
152,,,0,0,0,2022-05-22
153,,,0,0,0,2022-05-08
154,,,0,0,0,2022-05-03
155,,,0,0,0,2022-05-12
156,,,0,0,0,2022-05-15
157,,,0,0,0,2022-05-25
158,,,0,0,0,2022-05-29
159,,,0,0,0,2022-05-07
160,,,0,0,0,2022-05-27
161,,,0,0,0,2022-05-03
162,,,0,0,0,2022-05-09
163,,,0,0,0,2022-05-29
164,,,0,0,0,2022-05-15
165,,,0,0,0,2022-05-18
166,,,0,0,0,2022-05-22
167,,,0,0,0,2022-05-04
168,,,0,0,0,2022-05-12
169,,,0,0,0,2022-05-19
170,,,0,0,0,2022-05-25
171,,,0,0,0,2022-05-12
172,,,0,0,0,2022-05-05
173,,,0,0,0,2022-05-24
174,,,0,0,0,2022-05-07
175,,,0,0,0,2022-05-02
176,,,0,0,0,2022-05-09
177,,,0,0,0,2022-05-29
178,,,0,0,0,2022-05-13
179,,,0,0,0,2022-05-11
180,,,0,0,0,2022-05-30
181,,,0,0,0,2022-05-12
182,,,0,0,0,2022-05-31
183,,,0,0,1,2022-05-20
184,,,0,0,0,2022-05-08
185,,,0,0,0,2022-05-13
186,,,0,0,0,2022-05-19
187,,,0,0,0,2022-05-20
188,,,0,0,0,2022-05-03
189,,,0,0,0,2022-05-18
190,,,0,0,0,2022-05-19
191,,,0,0,0,2022-05-10
192,,,0,0,0,2022-05-19
193,,,0,0,0,2022-05-07
194,,,0,0,0,2022-05-26
195,,,0,0,0,2022-05-31
196,,,0,0,0,2022-05-06
197,,,0,0,0,2022-05-07
198,,,0,0,0,2022-05-29
199,,,0,0,0,2022-05-25
200,,,0,0,0,2022-05-29
201,,,0,0,0,2022-05-09
202,,,0,0,0,2022-05-15
203,,,0,0,0,2022-05-20
204,,,0,0,0,2022-05-13
205,,,0,0,0,2022-05-09
206,,,0,0,0,2022-05-10
207,,,0,0,0,2022-05-04
208,,,0,0,0,2022-05-26
209,,,0,0,0,2022-05-08
210,,,0,0,0,2022-05-24
211,,,0,0,0,2022-05-19
212,,,0,0,0,2022-05-25
213,,,0,0,0,2022-05-31
214,,,0,0,0,2022-05-05
215,,,0,0,0,2022-05-14
216,,,0,0,0,2022-05-22
217,,,0,0,0,2022-05-02
218,,,0,0,0,2022-05-20
219,,,0,0,0,2022-05-29
220,,,0,0,0,2022-05-09
221,,,0,0,0,2022-05-20
222,,,0,0,0,2022-05-26
223,,,0,0,0,2022-05-26
224,,,0,0,0,2022-05-19
225,,,0,0,0,2022-05-15
226,,,0,0,0,2022-05-17
227,,,0,0,0,2022-05-26
228,,,0,0,0,2022-05-08
229,,,0,0,0,2022-05-09
230,,,0,0,0,2022-05-19
231,,,0,0,0,2022-05-06
232,,,0,0,0,2022-05-23
233,,,0,0,0,2022-05-27
234,,,0,0,0,2022-05-17
235,,,0,0,0,2022-05-10
236,,,0,0,0,2022-05-06
237,,,0,0,0,2022-05-19
238,,,0,0,0,2022-05-24
239,,,0,0,0,2022-05-04
240,,,0,0,0,2022-05-02
241,,,0,0,0,2022-05-10
242,,,0,0,0,2022-05-04
243,,,0,0,0,2022-05-02
244,,,0,0,0,2022-05-17
245,,,0,0,0,2022-05-11
246,,,0,0,0,2022-05-16
247,,,0,0,0,2022-05-20
248,,,0,0,0,2022-05-06
249,,,0,0,0,2022-05-10
250,,,0,0,0,2022-05-24
251,,,0,0,0,2022-05-23
252,,,0,0,0,2022-05-07
253,,,0,0,0,2022-05-26
254,,,0,0,0,2022-05-24
255,,,0,0,0,2022-05-08
256,,,0,0,0,2022-05-15
257,,,0,0,0,2022-05-06
258,,,0,0,0,2022-05-01
259,,,0,0,0,2022-05-22
260,,,0,0,0,2022-05-04
261,,,0,0,0,2022-05-07
262,,,0,0,0,2022-05-26
263,,,0,0,0,2022-05-17
264,,,0,0,0,2022-05-16
265,,,0,0,0,2022-05-24
266,,,0,0,0,2022-05-10
267,,,0,0,0,2022-05-18
268,,,0,0,0,2022-05-09
269,,,0,0,0,2022-05-13
270,,,0,0,0,2022-05-25
271,,,0,0,0,2022-05-26
272,,,0,0,0,2022-05-10
273,,,0,0,0,2022-05-05
274,,,0,0,0,2022-05-25
275,,,0,0,0,2022-05-28
276,,,0,0,0,2022-05-16
277,,,0,0,0,2022-05-08
278,,,0,0,0,2022-05-22
279,,,0,0,0,2022-05-04
280,,,0,0,0,2022-05-31
281,,,0,0,0,2022-05-04
282,,,0,0,0,2022-05-10
283,,,0,0,0,2022-05-09
284,,,0,0,0,2022-05-18
285,,,0,0,0,2022-05-28
286,,,0,0,0,2022-05-11
287,,,0,0,1,2022-05-31
288,,,0,0,0,2022-05-25
289,,,0,0,0,2022-05-15
290,,,0,0,0,2022-05-23
291,,,0,0,0,2022-05-07
292,,,0,0,0,2022-05-09
293,,,0,0,0,2022-05-15
294,,,0,0,0,2022-05-16
295,,,0,0,0,2022-05-05
296,,,0,0,0,2022-05-03
297,,,0,0,0,2022-05-31
298,,,0,0,0,2022-05-06
299,,,0,0,0,2022-05-13
300,,,0,0,0,2022-05-25
301,,,0,0,0,2022-05-19
302,,,0,0,0,2022-05-27
303,,,0,0,0,2022-05-05
304,,,0,0,0,2022-05-13
305,,,0,0,0,2022-05-22
306,,,0,0,0,2022-05-08
307,,,0,0,0,2022-05-22
308,,,0,0,0,2022-05-15
309,,,0,0,0,2022-05-09
310,,,0,0,0,2022-05-20
311,,,0,0,0,2022-05-13
312,,,0,0,0,2022-05-27
313,,,0,0,0,2022-05-28
314,,,0,0,0,2022-05-17
315,,,0,0,0,2022-05-09
316,,,0,0,0,2022-05-07
317,,,0,0,0,2022-05-13
